Player,Location,Opposition,OppositionTeam,NotOut,FinalScore,StartDate,PlayerID,RestDays,Innings,DateYYYYMMDD,OpponentRank,RankDateUsed,y_log_runs,OppStrength,Home,Away,OppStrengthZ,RestDaysZ,InningsZ,PlayerIndex,P_OOF,P_NF,P_HF
PVD Chameera,Away,v England, England,0,7,2021-06-29,43,34,4,20210629,4,20210629,2.0794415416798357,-4.0,0,1,0.721067037532964,-0.0017786633407340451,-1.0672525954912653,15,0.31294969001,0.5157014367999999,0.171348873054676
PVD Chameera,Away,v England, England,1,14,2021-07-01,43,1,5,20210701,3,20210701,2.70805020110221,-3.0,0,1,0.972874640886684,-0.3907950422997909,-1.011607908321539,15,0.080803553963,0.3997583328600001,0.5194381136
PVD Chameera,Away,v England, England,0,16,2021-07-04,43,2,6,20210704,3,20210704,2.833213344056216,-3.0,0,1,0.972874640886684,-0.37900666717981946,-0.955963221151813,15,0.12365737113600002,0.42921841529999993,0.4471242130319999
PVD Chameera,Home,v India, India,0,13,2021-07-18,43,13,7,20210718,4,20210718,2.639057329615259,-4.0,1,0,0.721067037532964,-0.24933454086013387,-0.9003185339820867,15,0.22931751780000004,0.49927311280000014,0.271409369397057
PVD Chameera,Home,v India, India,0,2,2021-07-20,43,1,8,20210720,4,20210720,1.0986122886681096,-4.0,1,0,0.721067037532964,-0.3907950422997909,-0.8446738468123606,15,0.8709597123999999,0.118973965814,0.010066322351212931
PVD Chameera,Home,v South Africa, South Africa,0,0,2021-09-02,43,43,9,20210902,5,20210902,0.0,-5.0,1,0,0.46925943417924393,0.10431671273900874,-0.7890291596426343,15,0.9897050856999999,0.009788507768587001,0.0005064058085685745
PVD Chameera,Home,v South Africa, South Africa,0,11,2021-09-04,43,1,10,20210904,5,20210904,2.4849066497880004,-5.0,1,0,0.46925943417924393,-0.3907950422997909,-0.7333844724729082,15,0.4787372860500001,0.27565269818,0.24561001613287395
PVD Chameera,Home,v South Africa, South Africa,0,29,2021-09-07,43,2,11,20210907,5,20210907,3.4011973816621555,-5.0,1,0,0.46925943417924393,-0.37900666717981946,-0.677739785303182,15,0.12659490884400001,0.3331349656199999,0.5402701254440001
PVD Chameera,Home,v Zimbabwe, Zimbabwe,0,13,2022-01-18,43,132,12,20220118,14,20220118,2.639057329615259,-14.0,1,0,-1.7970089960042364,1.153482098416465,-0.6220950981334558,15,0.4002622860299999,0.41244371884,0.187293995351544
PVD Chameera,Home,v Zimbabwe, Zimbabwe,0,1,2022-01-21,43,2,13,20220121,14,20220121,0.6931471805599453,-14.0,1,0,-1.7970089960042364,-0.37900666717981946,-0.5664504109637296,15,0.9732925609,0.025482587343130005,0.0012248512488685925
PVD Chameera,Home,v Australia, Australia,1,7,2022-06-16,43,145,14,20220616,4,20220616,2.0794415416798357,-4.0,1,0,0.721067037532964,1.3067309749760936,-0.5108057237940034,15,0.22979986786,0.25196867224999997,0.5182314599900001
PVD Chameera,Neutral,v Afghanistan, Afghanistan,0,1,2023-10-30,43,500,15,20231030,9,20231030,0.6931471805599453,-9.0,0,0,-0.5379709792356362,5.491604142565947,-0.4551610366242772,15,0.9502422981999998,0.04397382437959999,0.0057838780346738125
PVD Chameera,Away,v India, India,0,0,2023-11-02,43,2,16,20231102,1,20231102,0.0,-1.0,0,1,1.4764898475941242,-0.37900666717981946,-0.399516349454551,15,0.9873371014000001,0.011485732227340001,0.0011771662369809562
PVD Chameera,Neutral,v Bangladesh, Bangladesh,0,4,2023-11-06,43,3,17,20231106,8,20231106,1.6094379124341003,-8.0,0,0,-0.2861633758819162,-0.3672182920598481,-0.3438716622848248,15,0.8902252314999999,0.079706549605,0.030068219217562867
PVD Chameera,Neutral,v New Zealand, New Zealand,0,1,2023-11-09,43,2,18,20231109,5,20231109,0.6931471805599453,-5.0,0,0,0.46925943417924393,-0.37900666717981946,-0.2882269751150986,15,0.9758959074000001,0.021369635586600003,0.0027344573720737477
PVD Chameera,Home,v Zimbabwe, Zimbabwe,0,18,2024-01-06,43,57,19,20240106,11,20240106,2.9444389791664403,-11.0,1,0,-1.0415861859430764,0.2693539644186086,-0.23258228794537242,15,0.36344298785,0.30161381574,0.33494319619148993
PVD Chameera,Home,v Zimbabwe, Zimbabwe,1,18,2024-01-08,43,1,20,20240108,11,20240108,2.9444389791664403,-11.0,1,0,-1.0415861859430764,-0.3907950422997909,-0.17693760077564624,15,0.13223208262599997,0.32756346248999996,0.5402044548999999
PVD Chameera,Home,v Bangladesh, Bangladesh,0,13,2025-07-05,43,543,21,20250705,9,20250705,2.639057329615259,-9.0,1,0,-0.5379709792356362,5.998504272724719,-0.12129291360592004,15,0.26445687963000003,0.41404465314000005,0.32149846766153295
PVD Chameera,Home,v Bangladesh, Bangladesh,1,10,2025-07-08,43,2,22,20250708,9,20250708,2.3978952727983707,-9.0,1,0,-0.5379709792356362,-0.37900666717981946,-0.06564822643619385,15,0.15056486888,0.4003355225,0.4490996081600001
PVD Chameera,Away,v Pakistan, Pakistan,0,7,2025-11-11,43,125,23,20251111,4,20251111,2.0794415416798357,-4.0,0,1,0.721067037532964,1.0709634725766652,-0.010003539266467654,15,0.34161529895000003,0.4638780270200001,0.19450667362601595
PVD Chameera,Away,v Pakistan, Pakistan,0,0,2025-11-14,43,2,24,20251114,4,20251114,0.0,-4.0,0,1,0.721067037532964,-0.37900666717981946,0.04564114790325854,15,0.9705300771,0.02834988962868,0.0011200336141786984
PW Hasaranga,Away,v West Indies, West Indies,0,47,2021-03-12,44,1,1,20210312,9,20210312,3.8712010109078907,-9.0,0,1,-0.5379709792356362,-0.3907950422997909,-1.2341866570004438,16,0.038109333033899996,0.67536829415,0.28652237237000006
PW Hasaranga,Away,v West Indies, West Indies,1,80,2021-03-14,44,1,2,20210314,9,20210314,4.394449154672439,-9.0,0,1,-0.5379709792356362,-0.3907950422997909,-1.1785419698307178,16,0.061092015325299995,0.3704790752113,0.56842890936
PW Hasaranga,Away,v Bangladesh, Bangladesh,0,74,2021-05-23,44,69,3,20210523,7,20210523,4.31748811353631,-7.0,0,1,-0.034355772528196146,0.41081446585826564,-1.1228972826609915,16,0.056138654617999995,0.2823535888144,0.6615077565
PW Hasaranga,Away,v Bangladesh, Bangladesh,0,6,2021-05-25,44,1,4,20210525,7,20210525,1.9459101490553132,-7.0,0,1,-0.034355772528196146,-0.3907950422997909,-1.0672525954912653,16,0.6697465684000001,0.26834036354,0.06191306789274039
